Spaceship_Model,Lightyears_Traveled,Type_of_Propulsion,Spacecraft_Maintenance_Contract,Crew_Capacity,Energy_Source,Registration_Code,Galactic_Credits,Downpayment_20_Percent,Downpayment_20_Percent_24_Months,Features_Description,Current_Damages,Modifications,Enchancements,Overheating,Core_Reactor_Anomalies,Power_Cell_Replacement,Viewports_Front_Left,Viewports_Front_Right,Viewports_Rear_Left,Viewports_Rear_Right,Transparent_Armor_Windshield,Transparent_Armor_Backshield,Side_Visual_Enhancer_Lens,Navigation_Lights_Front_Left,Navigation_Lights_Front_Right,Navigation_Lights_Rear_Left,Navigation_Lights_Rear_Right,Atmospheric_Scanner_Lamps,Deceleration_Indicators,Plasma_Thruster_Front_Left_Lifespan,Plasma_Thruster_Front_Right_Lifespan,Plasma_Thruster_Rear_Left_Lifespan,Plasma_Thruster_Rear_Right_Lifespan,Backup_Thruster_Lifespan,Backup_Thruster_Condition,Hatch_Controls_Front_Left,Hatch_Controls_Front_Right,Hatch_Controls_Rear_Left,Hatch_Controls_Rear_Right,Cargo_Bay_Hatch_Controls,Interior_Fabric_Condition,Control_Panel_Condition,Control_Panel_Lights,Audio_System_Condition,Speaker_Condition,Energy_Port_Condition,Climate_Control_Efficiency,Ventilation_System_Strength,Drive_and_Engine_Condition_Hard_Start,Propulsion_Shift_Delay,Unusual_Spacecraft_Sounds,Source_of_Unusual_Sounds,Maneuverability,Shield_Response_Time,Hull_Integrity,Plasma_Leak,Coolant_Level,Brake_Fluid_Level,Plasma_Color,Plasma_Flux_Viscosity
Quantum Nomad,88K Lightyears,Graviton Drive,Galactic Care Plan,10 Crew Members,Antimatter,SPC-4945,CR570K Credits,"₱113,786.00","₱18,898.00",Standard Spacecraft Features,None,Upgraded Shielding,Enhanced Shielding,Yes,Yes,Not Required,Cracked,Cracked,Cracked,Cracked,Severe Damage,Severe Damage,Damaged,Operational,Operational,Operational,Operational,Non-Functional,Non-Functional,73%,73%,73%,73%,73%,Operational,Operational,Operational,Operational,Operational,Operational,Worn,Partially Functional,Operational,Worn,Worn,Operational,Suboptimal,Optimal,No,Mild,Yes,Core Reactor,Enhanced Maneuverability,Rapid Shield Response,Severe Damage,No Leak,Low,Optimal,Yellow,Medium
Starblade Sentinel,149K Lightyears,Ion Thruster,Galactic Care Plan,6 Crew Members,Antimatter,SPC-7272,CR570K Credits,"₱116,134.00","₱32,071.00",Advanced Interstellar Features,None,Weaponized Plasma Cannons,Enhanced Shielding,No,Yes,Not Required,Cracked,Cracked,Cracked,Cracked,Intact,Intact,Damaged,Operational,Operational,Operational,Operational,Functional,Functional,85%,85%,85%,85%,85%,Operational,Operational,Operational,Operational,Operational,Operational,Worn,Fully Functional,Operational,Worn,Worn,Damaged,Suboptimal,Optimal,Yes,Severe,No,,Advanced Maneuverability,Standard Shield Response,Intact,Minor Leak,Optimal,Maximum,Red,Medium
Cosmic Defender,48K Lightyears,Quantum Slipstream,Galactic Care Plan,4 Crew Members,Antimatter,SPC-5098,CR766K Credits,"₱242,131.00","₱14,785.00",Enhanced Combat Features,Minor Scratches,Upgraded Shielding,Reinforced Hull,No,No,Not Required,Clear,Clear,Clear,Clear,Intact,Intact,Damaged,Operational,Operational,Operational,Operational,Functional,Functional,76%,76%,76%,76%,76%,Requires Maintenance,Operational,Operational,Operational,Operational,Operational,Worn,Fully Functional,Operational,Damaged,Damaged,Operational,Suboptimal,Weak,No,Mild,Yes,Core Reactor,Enhanced Maneuverability,Rapid Shield Response,Intact,Severe Leak,Low,Low,Green,Thick
Eclipse Strider,39K Lightyears,Ion Thruster,Cosmic Shield Coverage,3 Crew Members,Quantum Reactor,SPC-4661,CR374K Credits,"₱398,335.00","₱25,753.00",Enhanced Combat Features,Hull Dents,Upgraded Shielding,Advanced Navigation Systems,Yes,Yes,Not Required,Clear,Clear,Clear,Clear,Intact,Intact,Functional,Operational,Operational,Operational,Operational,Functional,Functional,91%,91%,91%,91%,91%,Non-Operational,Operational,Operational,Operational,Operational,Operational,Pristine,Partially Functional,Operational,Damaged,Damaged,Damaged,Suboptimal,Optimal,Yes,None,Yes,Core Reactor,Advanced Maneuverability,Rapid Shield Response,Severe Damage,No Leak,Optimal,Optimal,Yellow,Thin
Galactic Nomad,32K Lightyears,Graviton Drive,Cosmic Shield Coverage,6 Crew Members,Fusion Core,SPC-7700,CR431K Credits,"₱170,583.00","₱42,080.00",Enhanced Combat Features,None,Weaponized Plasma Cannons,Advanced Navigation Systems,No,No,Not Required,Cracked,Cracked,Cracked,Cracked,Intact,Intact,Damaged,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Functional,Functional,68%,68%,68%,68%,68%,Operational,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Worn,Malfunctioning,Non-Operational,Pristine,Pristine,Damaged,Optimal,Weak,No,Severe,No,,Enhanced Maneuverability,Standard Shield Response,Minor Damage,No Leak,Maximum,Low,Blue,Thin
Photon Arrow,30K Lightyears,Quantum Slipstream,Galactic Care Plan,6 Crew Members,Fusion Core,SPC-8248,CR802K Credits,"₱128,555.00","₱12,435.00",Enhanced Combat Features,Plasma Burns,Weaponized Plasma Cannons,Reinforced Hull,No,Yes,Required,Cracked,Cracked,Cracked,Cracked,Intact,Intact,Functional,Operational,Operational,Operational,Operational,Non-Functional,Non-Functional,71%,71%,71%,71%,71%,Requires Maintenance,Operational,Operational,Operational,Operational,Operational,Damaged,Malfunctioning,Operational,Damaged,Damaged,Operational,Optimal,Optimal,Yes,Severe,Yes,Core Reactor,Standard Maneuverability,Advanced Shield Response,Intact,Severe Leak,Optimal,Low,Yellow,Medium
Astro Titan,77K Lightyears,Quantum Slipstream,Interstellar Maintenance Agreement,7 Crew Members,Quantum Reactor,SPC-6702,CR861K Credits,"₱246,939.00","₱13,078.00",Advanced Interstellar Features,None,Weaponized Plasma Cannons,Advanced Navigation Systems,Yes,No,Required,Cracked,Cracked,Cracked,Cracked,Minor Damage,Minor Damage,Damaged,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Non-Functional,Non-Functional,95%,95%,95%,95%,95%,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Worn,Fully Functional,Non-Operational,Pristine,Pristine,Damaged,Suboptimal,Weak,No,Severe,No,,Enhanced Maneuverability,Standard Shield Response,Minor Damage,No Leak,Optimal,Maximum,Yellow,Thin
Celestial Guardian,57K Lightyears,Warp Drive,Galactic Care Plan,10 Crew Members,Dark Matter,SPC-3400,CR244K Credits,"₱225,012.00","₱40,721.00",Enhanced Combat Features,Minor Scratches,Enhanced Propulsion,Enhanced Shielding,Yes,No,Required,Cracked,Cracked,Cracked,Cracked,Severe Damage,Severe Damage,Functional,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Functional,Functional,62%,62%,62%,62%,62%,Requires Maintenance,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Pristine,Malfunctioning,Non-Operational,Worn,Worn,Operational,Suboptimal,Weak,Yes,None,No,,Enhanced Maneuverability,Rapid Shield Response,Intact,Minor Leak,Low,Optimal,Blue,Thin
Void Seeker,147K Lightyears,Graviton Drive,Cosmic Shield Coverage,8 Crew Members,Solar Array,SPC-2257,CR232K Credits,"₱328,452.00","₱42,637.00",Advanced Interstellar Features,Hull Dents,Weaponized Plasma Cannons,Enhanced Shielding,Yes,Yes,Not Required,Clear,Clear,Clear,Clear,Severe Damage,Severe Damage,Functional,Operational,Operational,Operational,Operational,Functional,Functional,100%,100%,100%,100%,100%,Requires Maintenance,Operational,Operational,Operational,Operational,Operational,Pristine,Fully Functional,Operational,Worn,Worn,Damaged,Suboptimal,Weak,Yes,Severe,Yes,Unknown Source,Standard Maneuverability,Advanced Shield Response,Severe Damage,Minor Leak,Optimal,Maximum,Red,Thin
Nebula Glider,136K Lightyears,Quantum Slipstream,Galactic Care Plan,10 Crew Members,Dark Matter,SPC-1768,CR499K Credits,"₱177,571.00","₱17,688.00",Advanced Interstellar Features,Plasma Burns,None,Reinforced Hull,No,No,Required,Scratched,Scratched,Scratched,Scratched,Intact,Intact,Functional,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Functional,Functional,76%,76%,76%,76%,76%,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Damaged,Fully Functional,Non-Operational,Worn,Worn,Damaged,Optimal,Optimal,Yes,None,No,,Standard Maneuverability,Standard Shield Response,Severe Damage,Severe Leak,Maximum,Optimal,Red,Medium
Quantum Ranger,133K Lightyears,Graviton Drive,Interstellar Maintenance Agreement,10 Crew Members,Solar Array,SPC-2091,CR436K Credits,"₱366,861.00","₱49,769.00",Standard Spacecraft Features,Plasma Burns,None,Enhanced Shielding,No,No,Not Required,Scratched,Scratched,Scratched,Scratched,Minor Damage,Minor Damage,Functional,Operational,Operational,Operational,Operational,Non-Functional,Non-Functional,54%,54%,54%,54%,54%,Non-Operational,Operational,Operational,Operational,Operational,Operational,Worn,Fully Functional,Operational,Pristine,Pristine,Operational,Suboptimal,Optimal,No,None,No,,Enhanced Maneuverability,Standard Shield Response,Minor Damage,No Leak,Optimal,Maximum,Blue,Thin
Starblade Horizon,55K Lightyears,Photon Pulse,Galactic Care Plan,3 Crew Members,Fusion Core,SPC-9126,CR900K Credits,"₱311,946.00","₱40,599.00",Advanced Interstellar Features,Hull Dents,Upgraded Shielding,Advanced Navigation Systems,No,No,Not Required,Cracked,Cracked,Cracked,Cracked,Minor Damage,Minor Damage,Damaged,Operational,Operational,Operational,Operational,Non-Functional,Non-Functional,60%,60%,60%,60%,60%,Non-Operational,Operational,Operational,Operational,Operational,Operational,Worn,Fully Functional,Operational,Damaged,Damaged,Damaged,Optimal,Weak,Yes,Mild,No,,Standard Maneuverability,Rapid Shield Response,Intact,Severe Leak,Optimal,Low,Yellow,Medium
Cosmic Pioneer,13K Lightyears,Warp Drive,Interstellar Maintenance Agreement,4 Crew Members,Dark Matter,SPC-1775,CR890K Credits,"₱139,327.00","₱13,948.00",Advanced Interstellar Features,Plasma Burns,None,Enhanced Shielding,Yes,No,Required,Cracked,Cracked,Cracked,Cracked,Minor Damage,Minor Damage,Damaged,Operational,Operational,Operational,Operational,Non-Functional,Non-Functional,56%,56%,56%,56%,56%,Non-Operational,Operational,Operational,Operational,Operational,Operational,Worn,Malfunctioning,Operational,Worn,Worn,Operational,Optimal,Optimal,Yes,None,No,,Advanced Maneuverability,Advanced Shield Response,Minor Damage,Severe Leak,Maximum,Optimal,Yellow,Thin
Eclipse Charger,50K Lightyears,Quantum Slipstream,Interstellar Maintenance Agreement,4 Crew Members,Quantum Reactor,SPC-5137,CR465K Credits,"₱130,004.00","₱49,353.00",Advanced Interstellar Features,Hull Dents,Upgraded Shielding,Reinforced Hull,No,No,Not Required,Cracked,Cracked,Cracked,Cracked,Intact,Intact,Functional,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Non-Functional,Non-Functional,50%,50%,50%,50%,50%,Operational,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Damaged,Fully Functional,Non-Operational,Worn,Worn,Operational,Suboptimal,Weak,Yes,None,No,,Enhanced Maneuverability,Advanced Shield Response,Severe Damage,Minor Leak,Low,Low,Yellow,Thick
Galactic Pathfinder,108K Lightyears,Ion Thruster,Cosmic Shield Coverage,4 Crew Members,Quantum Reactor,SPC-2724,CR646K Credits,"₱107,693.00","₱37,987.00",Standard Spacecraft Features,Hull Dents,Weaponized Plasma Cannons,Advanced Navigation Systems,No,Yes,Required,Clear,Clear,Clear,Clear,Minor Damage,Minor Damage,Functional,Operational,Operational,Operational,Operational,Functional,Functional,75%,75%,75%,75%,75%,Operational,Operational,Operational,Operational,Operational,Operational,Worn,Partially Functional,Operational,Worn,Worn,Operational,Suboptimal,Weak,No,Severe,Yes,Unknown Source,Standard Maneuverability,Standard Shield Response,Minor Damage,No Leak,Optimal,Maximum,Blue,Thin
